年別,進站/出站人次,總計人次,松山機場人次,中山國中人次,南京復興BR人次,忠孝復興BR人次,大安BR人次,科技大樓人次,六張犁人次,麟光人次,辛亥人次,萬芳醫院人次,萬芳社區人次,木柵人次,動物園人次,大直人次,劍南路人次,西湖人次,港墘人次,文德人次,內湖人次,大湖公園人次,葫洲人次,東湖人次,南港軟體園區人次,南港展覽館BR人次,小碧潭人次,新店人次,新店區公所人次,七張人次,大坪林人次,景美人次,萬隆人次,公館人次,台電大樓人次,古亭人次,中正紀念堂人次,小南門人次,頂溪人次,永安市場人次,景安人次,南勢角人次,台大醫院人次,台北車站BL人次,台北車站R人次,中山R人次,雙連人次,民權西路R人次,圓山人次,劍潭人次,士林人次,芝山人次,明德人次,石牌人次,唭哩岸人次,奇岩人次,北投人次,新北投人次,復興崗人次,忠義人次,關渡人次,竹圍人次,紅樹林人次,淡水人次,頂埔人次,永寧人次,土城人次,海山人次,亞東醫院人次,府中人次,板橋人次,新埔人次,江子翠人次,龍山寺人次,西門人次,善導寺人次,忠孝新生BL人次,忠孝復興BL人次,忠孝敦化人次,國父紀念館人次,市政府人次,永春人次,後山埤人次,昆陽人次,南港人次,南港展覽館BL人次,象山人次,台北/世貿人次,信義安和人次,大安R人次,大安森林公園人次,北門人次,中山G人次,松江南京G人次,南京復興G人次,台北小巨蛋人次,南京三民人次,松山人次,輔大人次,新莊人次,頭前庄人次,先嗇宮人次,三重人次,菜寮人次,台北橋人次,大橋頭人次,民權西路O人次,中山國小人次,行天宮人次,松江南京O人次,忠孝新生O人次,東門人次,蘆洲人次,三民高中人次,徐匯中學人次,三和國中人次,三重國小人次,迴龍人次,丹鳳人次,大坪林Y人次,十四張人次,秀朗橋人次,景平人次,景安Y人次,中和人次,橋和人次,中原人次,板新人次,板橋Y人次,新埔民生人次,頭前庄Y人次,幸福人次,新北產業園區人次
106年,出站人次,745298914,1977051,5112034,4919578,2517200,5263664,4918159,3857963,1416112,1025301,4902519,703297,1471026,2866749,3285971,4094280,5271882,4746324,1829698,2842918,1170116,2735503,2847467,1492308,4089343,873187,4049861,3978693,5610476,7070219,5754050,3256522,10675811,6689990,10954867,10452661,3088767,12884517,9326635,8533057,7316478,8100523,22835474,34595386,12211759,8142393,5351543,9765391,12484662,10373050,8329561,4166905,10737428,2489168,2786258,6414648,2330197,1216061,978962,4305523,3382013,2340038,13774118,2597436,4422545,2436048,7408978,6671924,9837292,15490838,13463259,8989000,10282826,27093911,7588933,9210826,15444163,14095572,8190617,22331866,6733162,5838907,4880300,5824972,5363042,3672514,11703941,6044929,3028644,3091978,3663557,2010242,1337830,8005136,8135904,7960026,7975111,3942892,4029975,1549548,1446112,2086714,3325929,3456297,3946538,2684544,5923877,9710481,11102361,2189856,8984542,4148350,4354842,4313766,4053725,4163893,3159083,2916045,,,,,,,,,,,,,,
107年,進站人次,764804427,2075055,5175220,4827853,2026566,5472984,5141615,4019714,1551505,1120953,4778863,892249,1482783,2839959,3330100,4066376,5275934,5135874,1928259,3159652,1233739,2804689,2860206,1676622,5604301,851174,4725986,3872068,5904054,7461658,6007996,3549999,10839686,6708579,11394314,10582768,3260110,12776770,9405078,8993787,7735191,7909270,26396310,31536469,11581527,7785594,5015894,10099562,12635293,10514627,8395523,4414154,10695851,2734266,3330714,6153636,2358223,1280115,1019193,4243541,3320374,2639848,14375721,2961368,4545957,2591967,7559052,8120326,11149543,15013049,14474676,9010655,11282310,27155469,7504468,9679479,15731887,13144484,7783914,22173529,6914137,5929101,4739258,6257561,4952257,4479945,11560339,6073132,3115640,3269250,4327789,2948047,1998365,8120459,8021175,7944307,8792606,3888114,3762970,1788879,1572376,2247030,3449004,3442381,4920095,3483340,6049043,9640002,10179596,2242944,8982454,4827068,4322623,4224150,4373311,4219785,3556991,3320776,,,,,,,,,,,,,,
107年,出站人次,764804427,1991996,5093383,4990775,2428719,5417157,4992987,3938038,1443539,1043371,4975379,732347,1524222,2914752,3355058,4106967,5451569,5087487,1866019,3100802,1201076,2775529,2931054,1588439,4205556,886878,4189326,4131056,5751329,7257003,6052769,3399499,10619721,6652606,11352328,10451972,3325773,13164175,9508694,8731929,7518974,8274792,22811299,34728534,12523995,8318697,5352155,10134131,12277878,10574532,8512241,4252516,11085850,2556078,2873253,6581812,2236861,1270759,1039593,4371539,3445339,2537573,13925436,2818238,4728610,2536727,7649109,7390040,10143065,16109234,13945775,9227367,10786726,27354512,7813286,9434881,15404685,13765776,8428392,22701266,6950169,5899336,4968377,6315746,5676365,4122051,11762456,6404967,3258052,3185325,4246138,2447394,1460102,8704931,8369709,8340472,8392575,4113059,4069969,1624481,1534764,2267391,3399210,3538708,4089443,2783636,6066397,9992813,11252360,2310544,9187463,4431264,4370678,4401302,4162391,4249206,3339501,3042877,,,,,,,,,,,,,,
108年,進站人次,788970453,2134235,5160937,4930890,2045650,5506382,5216306,4096043,1624626,1137795,4726784,920476,1505355,2976268,3342608,4370474,5337318,5357695,1966180,3335302,1274941,2928222,2953953,1808454,5913923,1175566,4924815,4028843,6115163,7573177,6162698,3687794,10960768,6697772,11839165,10810764,3413429,13048812,9588769,9161345,7940668,8173487,26383018,32213290,12557498,8074391,5047217,10497855,12529506,10752431,8528563,4472613,10851408,2674797,3320081,6502146,2425455,1313968,1111153,4323933,3362609,3705644,14472026,3093174,4859647,2676232,7697457,8795910,11599492,15431724,14942869,9095877,11703409,28021574,7802451,9975312,15508892,12768222,8058457,22918425,7084156,6014623,4783943,6731368,5142984,4975425,12774960,6358823,3352913,3335696,4910743,3128164,2174568,8458027,8132062,8203502,9060748,3950474,3813387,1918325,1594225,2533464,3569929,3540614,5136693,3636745,6218328,10070060,10584883,2503141,9456006,5167189,4329197,4379442,4518600,4280696,3706781,3496991,,,,,,,,,,,,,,
108年,出站人次,788970453,2044026,5082422,5085322,2412453,5450194,5048206,4009890,1518282,1063193,4955870,744769,1561222,3045300,3367772,4437983,5497713,5287254,1910951,3278281,1238799,2900911,3027637,1727473,4437086,1223764,4334631,4328408,5982851,7385181,6221183,3541385,10683673,6645947,11789483,10670179,3478480,13481169,9752318,8940430,7754299,8516877,22834584,35184207,13418573,8595742,5398594,10584636,12112395,10831768,8593000,4325451,11240924,2494589,2856901,6946372,2302274,1306497,1136776,4409363,3503817,4072011,13571505,2936342,5010919,2631584,7777414,8043072,10506112,16646188,14379777,9346404,11242912,28297655,8093456,9796328,15207923,13307828,8703301,23497857,7098530,5990333,4996530,6867475,5926291,4557783,13063997,6717227,3445594,3235227,4860405,2757323,1574373,9089934,8488097,8573283,8668814,4209450,4075882,1767259,1560068,2545414,3529864,3625554,4310013,2976175,6219435,10372629,11678951,2505663,9646413,4731585,4401348,4574981,4315094,4329358,3480557,3195226,,,,,,,,,,,,,,
109年,進站人次,695540439,1444656,4552397,4353820,1814979,4905541,4650545,3717440,1436032,1080616,4107769,844582,1382051,2020463,2954672,3654927,5042253,5046864,1818359,3109593,1174031,2668881,2681258,1741362,5159242,1287597,4450279,3750938,5546806,6805061,5572492,3425118,9284198,5820362,10734568,8270266,3071496,11730719,8538692,8686835,6985126,6979222,20404684,25952615,11355258,6577722,4461985,8920151,9344679,9059946,7638481,4089266,9565237,2419934,2850945,5894843,1862821,1210354,1006513,4087411,3010251,3504301,11728255,3065413,4252558,2534968,7180416,7984062,10490170,13179867,13136160,8357011,9407075,20703442,6677291,8092844,13018305,11069250,6509991,20637930,6554002,5421292,4565712,6353281,4693237,4596377,9178296,5830759,2976943,2960892,3925485,2463616,1943500,7802598,7127605,7222213,7538813,3777922,3491114,1313511,1535109,2228911,3301687,3230068,4592738,3139203,5457038,8924603,9170518,2373705,7712655,4823791,3937778,4010349,4147069,3900799,3579137,3361322,973001,315267,745380,1000020,-,1422849,539967,758269,766097,2670111,736492,713610,1014384,1176831
109年,出站人次,695540439,1446728,4507674,4483186,2017550,4837153,4489800,3645174,1334391,999717,4339860,678725,1431669,2034119,2977682,3692928,5173538,4936603,1752786,3068002,1140545,2688074,2727381,1651061,3704730,1334062,3903635,4044182,5443720,6436941,5613905,3305394,9048925,5761916,10671444,8119502,3112171,12071024,8674823,7433452,6701027,7240811,17604496,28171519,11916851,7033275,4688811,9105254,9112491,8984887,7656015,3961681,9870531,2256582,2454989,6269930,1748409,1203497,1036554,4155466,3155100,3873168,10821725,2891831,4398738,2507424,7251672,7269268,9358582,14368550,12761947,8587226,9064781,20749300,6918003,8236685,12754760,11731343,7118298,21215403,6601304,5384870,4737701,6511018,5528434,4217089,9343076,6138486,3084030,2811943,3999308,2290196,1354810,8417488,7459338,7489231,7324224,4011699,3664093,1383066,1502460,2248041,3286337,3305318,3908318,2667737,5452118,9165339,10200643,2115438,7926109,4434231,4008336,4196567,3967074,3939088,3345984,3063183,1113900,291623,781965,1108423,1030292,1456928,547052,750957,771492,2641663,789830,516419,1119309,1195809
110年,進站人次,530912219,968525,3440683,3212212,1464580,3651942,3507780,2852930,1154376,877325,3127859,669144,1100259,1467552,2231807,2868158,3809883,4019459,1422016,2480277,946195,2051172,2122356,1435344,3875900,933010,3568681,3138978,4143457,5119760,4312085,2695037,6836249,4304120,8039130,6095379,2254407,8913560,6474341,6660679,5409871,5254776,13754299,18802025,8890255,4892790,3479061,6999937,6664010,7102936,6041174,3228584,7525962,1967982,2310660,4701216,1419666,1012565,817388,3289628,2453020,3064125,9214096,2387986,3243447,2053710,5674237,6307898,7737333,9491400,9939559,6548582,6695303,15262101,5035773,6461945,9657900,8134868,4782110,15443654,5083974,4182649,3535492,5013526,3615156,3520887,6678181,4584086,2295909,2382329,2932638,2021871,1536294,6063606,5210269,5582411,5734265,2920148,2772209,935302,1263475,1766897,2635046,2566197,3542000,2316367,4238706,6824542,7044257,1511818,5679245,3734786,3096982,3142951,3251927,3063387,2897955,2678035,882527,369641,645986,918793,-,1264245,567249,801072,715180,2220932,571869,655671,946553,1096287
110年,出站人次,530912219,969724,3416599,3262260,1600872,3622804,3410245,2811360,1077034,823467,3332819,539303,1139613,1474018,2252599,2875864,3892978,3914547,1371002,2457170,919759,2072449,2174566,1359449,2761933,958267,3158726,3310103,4143919,4841564,4338794,2600811,6658264,4274507,7986409,5982674,2255218,9192134,6600521,5567431,5213314,5405605,11760545,20276499,9253218,5275977,3645061,7190405,6581676,6963158,6045664,3131199,7726609,1849855,2034099,4958303,1349772,1004936,838224,3356029,2544589,3383462,8445464,2263236,3354940,2023349,5755444,5761363,6915049,10383234,9715642,6726253,6418790,15349849,5193953,6342025,9479966,8495461,5184735,15912535,5130418,4158922,3655722,5151331,4293050,3230204,6807966,4817086,2352859,2276134,2953042,1878025,1038118,6568274,5431043,5773122,5613599,3101872,2890685,1140543,1238179,1788857,2631985,2628801,3074086,1976343,4216763,6970766,7833355,1536172,5816504,3448897,3166973,3282973,3137232,3118292,2713437,2464995,989256,329188,677317,1016656,980807,1293357,565694,798878,721138,2174078,626021,387213,1019701,1115027
111年,進站人次,587017562,1127708,3697521,3545758,1496929,3924431,3869825,3029915,1258569,977553,3335484,717933,1151797,1572149,2424545,3344629,4033685,4455382,1563918,2726520,1000140,2263368,2315366,1661386,4297233,1028223,3822554,3525287,4374013,5624797,4646127,2944496,7731507,4611511,8747961,6772994,2474375,9669748,7020252,7207300,5816604,5650418,15546748,21753648,10471235,5471135,3658721,7573147,7360545,7738951,6519660,3506827,8117709,2143065,2513983,5073439,1524505,1068946,864645,3526261,2661753,3385936,9984957,2584354,3560649,2278541,6209197,6866701,8341155,10699608,10785272,7348284,7442503,16949071,5766946,7538706,10571528,9165462,5491087,17285740,5595352,4513516,3875911,5682788,3934486,3695387,7897394,5052374,2539312,2647662,3335046,2394627,1706558,6925482,5914039,6236067,6289120,3062602,3023117,1012695,1331585,2087118,2892634,2851167,3808318,2600755,4646594,7334863,7724941,1790384,6310281,4093741,3394146,3445098,3514501,3328753,3129186,2806513,1016474,455146,745241,1096038,-,1444707,697502,959343,848651,2646772,643815,733871,1093752,1401606
111年,出站人次,587017562,1123540,3705776,3546051,1719259,3913974,3740572,3002852,1187235,928206,3552906,574687,1191342,1590534,2456130,3338799,4078532,4331964,1514630,2704674,971024,2278053,2379793,1563961,3137950,1063818,3400650,3688709,4399775,5327247,4673826,2853866,7489720,4583574,8724921,6644435,2473382,9970820,7221685,5980318,5637563,5830768,13241159,23305791,10858525,5793308,3906595,7817385,7291553,7602002,6559000,3425982,8300860,2010734,2213922,5378345,1436713,1066761,867105,3627539,2772366,3723813,9147527,2468857,3620391,2239703,6311167,6254212,7449769,11722007,10520982,7543483,7167070,17092800,5935713,7407536,10268905,9480615,5804320,17756121,5650271,4513837,3956506,5894729,4613875,3460310,8037850,5309755,2584188,2517193,3350519,2298139,1127756,7482646,6174553,6457326,6160434,3274132,3127152,1272832,1293874,2099665,2876268,2931911,3367893,2223741,4653008,7497573,8633334,1824852,6443076,3763431,3467825,3608552,3394198,3385830,2947426,2543097,1122072,409245,771471,1196667,1086273,1464467,692319,959035,856439,2585682,707067,436942,1192338,1429831
